word,score
said,0.04048214318343278
people,0.0308452451626499
says,0.023360375660852098
big,0.01936462537525825
hurt,0.017868882801012724
say,0.01671346171168505
did,0.01640188740920745
help,0.015936156948035653
got,0.015583343390060636
years,0.014717738537210942
called,0.014383156370981472
bad,0.013365646668236433
old,0.012719709847486141
want,0.011487313541219277
money,0.010968457639770553
things,0.010534841493887167
police,0.010424712773035208
new,0.010115020698796698
wants,0.009883458736804733
like,0.009840804503861815
make,0.009362988073111528
went,0.009354478978005952
kids,0.009173169834623544
man,0.008984509618634045
told,0.008687097631132429
special,0.008680077385620426
happened,0.008497957612889228
lot,0.008477935581231178
think,0.00833482376532476
hard,0.008030254121428049
died,0.007857059166736426
good,0.007453958480712884
used,0.007268066837357983
thinks,0.006944746365427567
jail,0.006916879926968684
helps,0.006604448743041041
helped,0.006463329305887243
house,0.006411703789532053
won,0.006116468156770376
better,0.006100359833186539
pictures,0.00593659584446704
took,0.005918820652606463
sick,0.005769083391152597
problem,0.005641912538280393
sad,0.005519103413009711
talk,0.005446275496360575
mom,0.00542101422970807
job,0.0054138652166047935
came,0.005393207633163551
fight,0.005377929285534867
named,0.005297474814142666
pay,0.005243187749383173
wanted,0.005231316499007414
talked,0.005173335732266824
know,0.005067862308862436
trouble,0.005057042391953715
rules,0.005034551887022006
thought,0.005030013286998206
stop,0.005006066083414652
game,0.0049711357506900845
asked,0.004893214184346821
time,0.004872778008868381
car,0.004846593170975867
mean,0.0048262021745401505
work,0.004755674519295448
workers,0.004754476559096661
person,0.004650552897833542
safe,0.0045412041852591935
home,0.004489992553163515
problems,0.004485641271461014
looked,0.004469873970256446
court,0.004418085463295047
wrong,0.004398042921316422
place,0.0043379984263383015
fun,0.004298330823167671
care,0.004258871721589043
group,0.0042441096069024895
let,0.004233986441416934
nice,0.004160125451204417
saw,0.0041081361884185595
doctors,0.0041022824914921764
use,0.004090907486400099
news,0.00406114725801005
worked,0.004052275782650751
makes,0.0040261679113607705
look,0.0038676022901549772
famous,0.003863212127150838
baby,0.0038410552252464668
long,0.0038272460810701166
need,0.003809967101670335
right,0.0037925275408413387
shows,0.0037692082809672677
stopped,0.0037618147591151306
leave,0.0037381452874212786
play,0.0037264286561999086
dad,0.0037168303473965308
book,0.0036883643908744218
stay,0.00368596769976559
going,0.003646029031544442
team,0.003629305162712781
hit,0.00362815595333085
started,0.0036058309885939285
getting,0.0035642117981479603
jobs,0.0034816682577804656
small,0.0034606468371629934
does,0.003378492062588509
happy,0.0033749022343600326
plan,0.0033539050384789534
trying,0.0033089842172789588
badly,0.0032899582708167075
tried,0.003253789586262503
really,0.0032371115708590536
away,0.003204294692287911
woman,0.0031741739421949117
best,0.00313397071343356
deal,0.0031267931805055993
scared,0.0031024684734905997
fancy,0.0031018472740373276
played,0.0030915435319492663
cars,0.0030860875225404423
looks,0.0030812822247807377
gave,0.003056465895056962
showed,0.0030082562886971087
girl,0.003000601956479276
movie,0.0029918179740986055
charge,0.002979816524108468
times,0.002908282538992509
way,0.00290613489819258
live,0.002896597832567578
hurting,0.0028853081354585407
looking,0.002866611967424064
homes,0.0028623067944768847
words,0.0028495974779188726
sorry,0.002843325793883082
changed,0.002840416605070244
start,0.002811549212110383
sent,0.0028086091849679183
guilty,0.0027329115941301095
lost,0.0027079159165395773
left,0.0027066922610133235
caught,0.0026924283571638586
10,0.0026865098234677347
change,0.0026572052737158327
places,0.0026210238617647244
lawyers,0.0026151707962635494
plane,0.0026035691488474344
hospital,0.0026016206977426057
tell,0.0025759875159958277
boss,0.0025677125315412483
broke,0.0025592471033016907
school,0.0025550736968204353
wrote,0.00255285113445083
come,0.002515524132961243
picture,0.0024873347159666864
okay,0.0024541396593661937
upset,0.002452690376682145
learn,0.002452239135932817
clothes,0.002443772840350578
fake,0.0024298286854715716
costs,0.002413551869478307
boy,0.00239805721004073
fell,0.002395643071228676
just,0.0023605962647068263
great,0.0023375928255682855
soon,0.0023109215499483764
talks,0.002306500191189671
win,0.002269337107544432
try,0.002266774322070749
eat,0.0022646053083315706
coach,0.0022596712827891935
drugs,0.002197171388500584
wife,0.002195574007773042
papers,0.002192017696474967
sold,0.0021799942906808468
feel,0.0021794368183616873
gone,0.002150868223493695
men,0.002124173663936786
parts,0.0021220319531213582
arrested,0.002106208294894102
bought,0.0020988074341886133
young,0.0020965119269043117
don,0.002087383829025556
paid,0.0020832784401586444
working,0.0020713208570621194
means,0.002058877749846844
liked,0.0020551862195894656
fix,0.0020520344092802567
doing,0.0020424743461125976
lawyer,0.0020256410449828836
kind,0.0020223264592166886
test,0.001996611839541094
rich,0.001987800336882023
000,0.001970161645695325
funny,0.0019669982735930364
games,0.0019625149127716736
shot,0.001959183768107751
lived,0.0019569856571905317
feels,0.001955010000097163
friends,0.0019417511579494094
doctor,0.0019270278564665513
check,0.0018951762275115297
ran,0.0018881722360082464
girls,0.0018866866514994289
talking,0.00188465555159932
real,0.0018831717557080312
save,0.0018480421554297843
guns,0.0018426074923445623
tv,0.0018393475853010822
crash,0.0018253490851354176
gun,0.0018243259840010748
run,0.001824163248787351
goes,0.0018031906569647253
buy,0.0017941559326708888
worried,0.0017896451161997786
park,0.0017781464782895512
cost,0.0017695921761629596
share,0.0017651216167717506
